number,value,datetime_start,datetime_complete,duration,params_atr_multiplier_stop,params_input_chunk_length,params_layer_widths,params_num_blocks,params_num_layers,params_prob_threshold,params_risk_per_trade,params_threshold_pct,params_use_vol_sizing,params_use_wavelet,user_attrs_metrics,state
68,-20.042350862982648,2025-08-21 01:09:24.842934,2025-08-21 01:15:51.492225,0 days 00:06:26.649291,2.5,72,128,3,4,0.9,0.01,0.002,False,False,"{'final_capital': 992.9271767435398, 'total_return_pct': -0.7072823256460192, 'ann_sharpe': -20.042350862982648, 'max_drawdown_pct': -0.6851659701035757, 'num_executed': 31, 'win_rate': 0.12903225806451613, 'avg_pnl': -0.22815558891806634, 'profit_factor': 0.04792512783783916, 'avg_pnl_ci_l': -0.293771982195413, 'avg_pnl_ci_u': -0.16448298307104461}",COMPLETE
97,-20.042350862982648,2025-08-21 04:04:56.107839,2025-08-21 04:10:17.540825,0 days 00:05:21.432986,2.5,72,128,3,4,0.95,0.01,0.002,False,True,"{'final_capital': 992.9271767435398, 'total_return_pct': -0.7072823256460192, 'ann_sharpe': -20.042350862982648, 'max_drawdown_pct': -0.6851659701035757, 'num_executed': 31, 'win_rate': 0.12903225806451613, 'avg_pnl': -0.22815558891806634, 'profit_factor': 0.04792512783783916, 'avg_pnl_ci_l': -0.29624469940742376, 'avg_pnl_ci_u': -0.1604738788333853}",COMPLETE
45,-20.120782204034015,2025-08-20 22:51:57.638409,2025-08-20 22:57:03.295491,0 days 00:05:05.657082,2.5,48,64,3,4,0.95,0.01,0.002,False,False,"{'final_capital': 993.0662622889881, 'total_return_pct': -0.6933737711011911, 'ann_sharpe': -20.120782204034015, 'max_drawdown_pct': -0.670213738121668, 'num_executed': 30, 'win_rate': 0.1, 'avg_pnl': -0.23112459036706667, 'profit_factor': 0.04748034919952524, 'avg_pnl_ci_l': -0.2944901808533061, 'avg_pnl_ci_u': -0.16792888601803319}",COMPLETE
67,-20.120782204034015,2025-08-21 01:04:14.571974,2025-08-21 01:09:24.842621,0 days 00:05:10.270647,2.5,48,64,3,4,0.95,0.01,0.002,False,False,"{'final_capital': 993.0662622889881, 'total_return_pct': -0.6933737711011911, 'ann_sharpe': -20.120782204034015, 'max_drawdown_pct': -0.670213738121668, 'num_executed': 30, 'win_rate': 0.1, 'avg_pnl': -0.23112459036706667, 'profit_factor': 0.04748034919952524, 'avg_pnl_ci_l': -0.29396868265089915, 'avg_pnl_ci_u': -0.1708183894177618}",COMPLETE
36,-20.120782204034015,2025-08-20 22:01:48.652041,2025-08-20 22:06:11.924614,0 days 00:04:23.272573,2.5,48,64,3,4,0.95,0.01,0.002,False,True,"{'final_capital': 993.0662622889881, 'total_return_pct': -0.6933737711011911, 'ann_sharpe': -20.120782204034015, 'max_drawdown_pct': -0.670213738121668, 'num_executed': 30, 'win_rate': 0.1, 'avg_pnl': -0.23112459036706667, 'profit_factor': 0.04748034919952524, 'avg_pnl_ci_l': -0.29318415403779735, 'avg_pnl_ci_u': -0.15273597096376107}",COMPLETE
76,-20.256226335853405,2025-08-21 01:59:45.311268,2025-08-21 02:04:40.388183,0 days 00:04:55.076915,1.5,48,128,3,3,0.95,0.01,0.002,False,False,"{'final_capital': 993.1492726392082, 'total_return_pct': -0.6850727360791731, 'ann_sharpe': -20.256226335853405, 'max_drawdown_pct': -0.6619107671538697, 'num_executed': 31, 'win_rate': 0.0967741935483871, 'avg_pnl': -0.22099120518682017, 'profit_factor': 0.048061524457792736, 'avg_pnl_ci_l': -0.28804240743053494, 'avg_pnl_ci_u': -0.15543553906467727}",COMPLETE
17,-20.256226335853405,2025-08-20 20:20:13.756771,2025-08-20 20:25:03.813344,0 days 00:04:50.056573,1.5,48,128,3,3,0.95,0.01,0.002,False,False,"{'final_capital': 993.1492726392082, 'total_return_pct': -0.6850727360791731, 'ann_sharpe': -20.256226335853405, 'max_drawdown_pct': -0.6619107671538697, 'num_executed': 31, 'win_rate': 0.0967741935483871, 'avg_pnl': -0.22099120518682017, 'profit_factor': 0.048061524457792736, 'avg_pnl_ci_l': -0.2832994762055469, 'avg_pnl_ci_u': -0.14887714130990373}",COMPLETE
38,-20.277231711632577,2025-08-20 22:11:48.117536,2025-08-20 22:16:16.887652,0 days 00:04:28.770116,2.0,48,64,3,4,0.85,0.01,0.002,True,True,"{'final_capital': 993.4854216194954, 'total_return_pct': -0.6514578380504621, 'ann_sharpe': -20.277231711632577, 'max_drawdown_pct': -0.6282880295461017, 'num_executed': 30, 'win_rate': 0.1, 'avg_pnl': -0.2171526126834838, 'profit_factor': 0.05040159752386333, 'avg_pnl_ci_l': -0.27933169195586216, 'avg_pnl_ci_u': -0.16319195034457123}",COMPLETE
7,-20.297310030452536,2025-08-20 19:28:39.853245,2025-08-20 19:31:25.775495,0 days 00:02:45.922250,2.5,48,64,2,3,0.9,0.005,0.005,False,False,"{'final_capital': 992.8872830327865, 'total_return_pct': -0.7112716967213495, 'ann_sharpe': -20.297310030452536, 'max_drawdown_pct': -0.6881158378494733, 'num_executed': 30, 'win_rate': 0.1, 'avg_pnl': -0.23709056557378733, 'profit_factor': 0.04634923539937208, 'avg_pnl_ci_l': -0.3002528824089753, 'avg_pnl_ci_u': -0.16747712918316324}",COMPLETE
3,-21.178805820680747,2025-08-20 19:11:18.199211,2025-08-20 19:14:45.399177,0 days 00:03:27.199966,2.0,48,128,2,3,0.85,0.005,0.005,True,False,"{'final_capital': 993.6770283401781, 'total_return_pct': -0.6322971659821874, 'ann_sharpe': -21.178805820680747, 'max_drawdown_pct': -0.6091228888757384, 'num_executed': 30, 'win_rate': 0.03333333333333333, 'avg_pnl': -0.21076572199405835, 'profit_factor': 0.025810638355698166, 'avg_pnl_ci_l': -0.26244238357642746, 'avg_pnl_ci_u': -0.16323377864879726}",COMPLETE
