decision_time,signal_time,signal,side,entry_time,entry_price,exit_time,exit_price,units,allocation_usd,gross_pnl,fee_usd,slippage_usd,net_pnl,capital_after,median_pred,low_pred,high_pred,median_ret,low_ret,high_ret,p_pos,predict_on_returns,exit_reason
2025-08-13 12:00:00,2025-08-05 23:00:00,STRONG_SELL,SHORT,2025-08-13 13:00:00,120273.72,2025-08-13 13:00:00,121265.30857142858,0.0007283294997747768,87.59889832365157,-0.7222032082109655,0.1759199998555141,0.08795999992775705,-0.9860832079942367,972.3350092770231,116995.7938562628,116995.7938562628,116995.7938562628,-0.02725388508592903,-0.02725388508592903,-0.02725388508592903,0.0,False,trailing_sl
2025-08-13 13:00:00,2025-08-05 23:00:00,STRONG_SELL,SHORT,2025-08-13 14:00:00,121767.97,2025-08-13 14:00:00,122045.02,0.0007186631331287865,87.51015083493208,-0.19910562103333238,0.17521940729089747,0.08760970364544873,-0.4619347319696786,971.8730745450534,115794.15673239928,115794.15673239928,115794.15673239928,-0.049058987085033305,-0.049058987085033305,-0.049058987085033305,0.0,False,trailing_sl
2025-08-13 14:00:00,2025-08-05 23:00:00,STRONG_SELL,SHORT,2025-08-13 15:00:00,120890.74,2025-08-13 16:00:00,121688.91714285714,0.00072353413263129,87.4685767090548,-0.5775084067432602,0.17551466182485287,0.08775733091242643,-0.8407803994805395,971.0322941455729,116995.7938562628,116995.7938562628,116995.7938562628,-0.032218650211949244,-0.032218650211949244,-0.032218650211949244,0.0,False,trailing_sl
2025-08-13 15:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,114027.82715089168,114027.82715089168,114027.82715089168,-0.057002625764806,-0.057002625764806,-0.057002625764806,0.0,False,none
2025-08-13 16:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,116995.7938562628,116995.7938562628,116995.7938562628,-0.03645125700059559,-0.03645125700059559,-0.03645125700059559,0.0,False,none
2025-08-13 17:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,116696.09493571446,116696.09493571446,116696.09493571446,-0.04208675671641592,-0.04208675671641592,-0.04208675671641592,0.0,False,none
2025-08-13 18:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,113920.32546810382,113920.32546810382,113920.32546810382,-0.06345713003617398,-0.06345713003617398,-0.06345713003617398,0.0,False,none
2025-08-13 19:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,116720.61962926782,116720.61962926782,116720.61962926782,-0.049074334102864686,-0.049074334102864686,-0.049074334102864686,0.0,False,none
2025-08-13 20:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,114094.61315449043,114094.61315449043,114094.61315449043,-0.07167704980097525,-0.07167704980097525,-0.07167704980097525,0.0,False,none
2025-08-13 21:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,113774.67769901836,113774.67769901836,113774.67769901836,-0.07169059350435036,-0.07169059350435036,-0.07169059350435036,0.0,False,none
